2025-12-15 11:59:26,804 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-12-15 11:59:26,828 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-12-15 11:59:26,830 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-12-15 11:59:26,830 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-12-15 11:59:26,832 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-12-15 11:59:26,833 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-12-15 11:59:26,834 INFO  SwAddin.cs: 201 - Setting up command manager
2025-12-15 11:59:26,835 INFO  SwAddin.cs: 204 - Adding command manager
2025-12-15 11:59:26,837 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-12-15 11:59:26,838 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-12-15 11:59:26,838 INFO  SwAddin.cs: 210 - Adding event handlers
2025-12-15 11:59:26,842 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-12-15 13:56:36,370 INFO  SwAddin.cs: 294 - Assembly export called for file nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,313 INFO  SwAddin.cs: 313 - Saving assembly
2025-12-15 13:56:42,426 INFO  SwAddin.cs: 316 - Opening property manager
2025-12-15 13:56:42,451 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,456 INFO  ExportHelperExtension.cs: 1136 - Found 24 in nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,456 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,457 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-12-15 13:56:42,458 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2025-12-15 13:56:42,459 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from nipper_sarthak_gazebo-1
2025-12-15 13:56:42,460 INFO  ExportHelperExtension.cs: 1136 - Found 53 in nipper_sarthak_gazebo-1
2025-12-15 13:56:42,460 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in nipper_sarthak_gazebo-1
2025-12-15 13:56:42,461 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,462 INFO  ExportHelperExtension.cs: 1136 - Found 24 in nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,462 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in nipper_sarthak_gazebo.SLDASM
2025-12-15 13:56:42,462 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-12-15 13:56:42,463 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
